control_id,control_name,description,evidence_file,severity,EV,AC,AR,PR,UI,VC,VI,VA,RC
POLICY-001,Rate limiting active,Rate limiting configured on MTA,policy/postfix_ratelimit.txt,High,N,L,N,N,N,N,N,H,S
POLICY-002,Connection rate limit,Per-client connection limit defined,policy/postfix_ratelimit.txt,High,N,L,N,N,N,N,N,H,T
POLICY-003,Message rate limit,Per-client message limit defined,policy/postfix_ratelimit.txt,High,N,L,N,N,N,N,L,H,T
POLICY-004,Recipient rate limit,Per-message recipient limit,policy/postfix_ratelimit.txt,Medium,N,L,N,N,N,N,L,L,T
POLICY-005,Greylisting active,Postgrey or equivalent configured if applicable,policy/postgrey.txt,Medium,N,L,N,N,N,N,L,L,M
POLICY-006,Policy daemon active,Postfwd/policyd if used,policy/*status.txt,Medium,L,L,N,H,N,N,N,H,M
