control_id,control_name,description,evidence_file,severity,EV,AC,AR,PR,UI,VC,VI,VA,RC
RFC2142-001,postmaster defined,Postmaster alias mandatory per RFC 5321,aliases/rfc2142_check.txt,Critical,N,H,P,N,N,N,H,N,S
RFC2142-002,abuse defined,Abuse alias for reports,aliases/rfc2142_check.txt,High,N,H,P,N,N,N,H,N,S
RFC2142-003,security defined,Security alias for incident response,aliases/rfc2142_check.txt,Medium,N,H,P,N,N,N,L,N,S
RFC2142-004,hostmaster defined,Hostmaster alias for DNS,aliases/rfc2142_check.txt,Low,N,H,P,N,N,N,L,N,S
