control_id,area,component,evidence_file,severity,EV,AC,AR,PR,UI,VC,VI,VA,RC
DOVECOT-007,MDA,Dovecot,dovecot/config_active/doveconf_n.txt,High,N,L,N,N,N,H,N,N,S
DOVECOT-008,MDA,Dovecot,dovecot/config_active/doveconf_n.txt,Low,N,H,P,N,N,L,N,N,T
DOVECOT-009,MDA,Dovecot,dovecot/config_active/protocols.txt,Medium,N,H,P,N,N,L,L,L,S
DOVECOT-010,MDA,Dovecot,dovecot/config_active/listeners.txt,High,N,L,N,N,N,H,H,N,M
DOVECOT-011,MDA,Dovecot,dovecot/config_active/doveconf_n.txt,High,L,L,N,H,N,H,N,N,T
DOVECOT-012,MDA,Dovecot,dovecot/config_active/doveconf_n.txt,High,L,H,N,H,N,N,L,N,S
DOVECOT-013,MDA,Dovecot,dovecot/config_errors.txt,High,L,L,N,H,N,N,L,H,M
DOVECOT-014,MDA,Dovecot,system/services.txt,Critical,L,L,N,H,N,N,N,H,S
DOVECOT-015,MDA,Dovecot,dovecot/config_active/doveconf_N.txt,Medium,L,H,P,L,N,N,N,H,M
DOVECOT-016,MDA,Dovecot,dovecot/config_active/doveconf_P.txt,Low,L,H,P,L,N,N,N,L,T
EXIM-001,MTA,Exim,exim/version.txt,High,N,H,N,N,N,L,L,L,M
EXIM-002,MTA,Exim,exim/config_active/exim_bP.txt,Medium,N,H,P,N,N,L,N,N,T
EXIM-003,MTA,Exim,exim/config_active/exim_bP.txt,Medium,N,H,P,N,N,N,L,N,S
EXIM-004,MTA,Exim,exim/security/acl_summary.txt,Critical,N,L,N,N,N,N,H,H,M
EXIM-005,MTA,Exim,exim/security/acl_summary.txt,High,N,L,N,N,N,L,H,L,M
EXIM-006,MTA,Exim,exim/security/acl_summary.txt,Critical,N,L,N,N,N,N,H,H,M
EXIM-007,MTA,Exim,exim/security/acl_summary.txt,Medium,N,L,N,N,N,N,L,N,S
EXIM-008,MTA,Exim,exim/config_active/exim_bP.txt,Medium,N,L,N,N,N,N,N,H,T
EXIM-009,MTA,Exim,exim/security/ratelimit_config.txt,Medium,N,L,N,N,N,N,N,H,T
EXIM-010,MTA,Exim,exim/security/ratelimit_config.txt,Medium,N,L,N,N,N,N,N,H,T
EXIM-011,MTA,Exim,exim/security/ratelimit_config.txt,High,N,L,N,N,N,N,L,H,M
EXIM-012,MTA,Exim,exim/security/dkim_config.txt,High,N,H,P,N,N,N,H,N,M
EXIM-013,MTA,Exim,exim/security/spf_config.txt,High,N,L,N,N,N,N,H,N,M
EXIM-014,MTA,Exim,exim/security/content_scanning.txt,High,N,L,N,N,N,H,H,N,M
EXIM-015,MTA,Exim,exim/security/content_scanning.txt,High,N,L,N,N,N,N,L,L,M
EXIM-016,MTA,Exim,exim/queue_status.txt,Medium,L,H,P,L,N,N,N,H,M
EXIM-017,MTA,Exim,system/services.txt,Critical,L,L,N,H,N,N,N,H,S
EXIM-018,MTA,Exim,exim/config_test.txt,High,L,L,N,H,N,N,L,H,M
FAIL2BAN-001,Protection,Fail2ban,fail2ban/config_active/status.txt,High,N,L,N,N,N,N,N,H,S
FAIL2BAN-002,Protection,Fail2ban,fail2ban/config_active/jail_*.txt,High,N,L,N,N,N,N,N,H,S
FAIL2BAN-003,Protection,Fail2ban,fail2ban/config_files/jail.local,Medium,N,H,P,N,N,N,N,L,T
FAIL2BAN-004,Protection,Fail2ban,fail2ban/config_files/jail.local,Medium,N,L,N,N,N,L,N,L,T
FAIL2BAN-005,Protection,Fail2ban,fail2ban/config_files/jail.local,Medium,N,H,P,N,N,N,N,L,T
FAIL2BAN-006,Protection,Fail2ban,fail2ban/config_files/filter.d/*.conf,High,L,L,N,H,N,N,N,H,M
FAIL2BAN-007,Protection,Fail2ban,fail2ban/config_active/banned_ips.txt,Info,L,H,P,L,N,N,N,N,T
FIREWALL-001,Firewall,iptables,firewall/type.txt,Critical,N,L,N,N,N,H,H,H,S
FIREWALL-002,Firewall,iptables,firewall/*_mail.txt,High,N,L,N,N,N,N,H,H,S
FIREWALL-003,Firewall,iptables,firewall/*_mail.txt,High,N,L,N,N,N,H,H,N,S
FIREWALL-004,Firewall,iptables,firewall/*_mail.txt,High,N,L,N,N,N,N,N,H,S
FIREWALL-005,Firewall,iptables,firewall/*_mail.txt,Medium,N,L,N,L,N,L,L,N,S
FIREWALL-006,Firewall,iptables,firewall/*_full.txt,Medium,N,L,N,N,N,N,N,H,M
FIREWALL-007,Firewall,iptables,firewall/ip6tables_mail.txt,Medium,N,L,N,N,N,H,H,H,M
FIREWALL-008,Firewall,iptables,firewall/,High,L,H,N,H,N,L,L,L,M
LOGGING-001,Logging,Syslog,postfix/config_active/postconf_n.txt,High,L,H,N,H,N,L,L,N,S
LOGGING-002,Logging,Syslog,dovecot/config_active/doveconf_n.txt,High,L,H,N,H,N,L,L,N,S
